instance_path,m,n,seed,exact_sol,exact_time,u1_sol,u2_sol,h_rho1_sol,h_rho2_sol,h_rho2_time
dataset_D1/m_07_n_14_seed_05.txt,7,14,5,2551,0.0590313,5949,2934,2839,2574,0.0283024
dataset_D1/m_07_n_14_seed_06.txt,7,14,6,2482,0.0649958,6477,2816,2764,2482,0.0311405
dataset_D1/m_07_n_14_seed_07.txt,7,14,7,2327,0.0743087,5948,2497,2538,2350,0.0319261
dataset_D1/m_07_n_14_seed_08.txt,7,14,8,2589,0.0674344,6097,2823,2883,2603,0.0287145
dataset_D1/m_07_n_14_seed_09.txt,7,14,9,2363,0.081682,6033,2576,2541,2382,0.0348799
dataset_D1/m_07_n_16_seed_00.txt,7,16,0,2766,0.0865445,7972,2905,2941,2772,0.0405359
dataset_D1/m_07_n_16_seed_01.txt,7,16,1,2801,0.0809175,7226,3111,3211,2817,0.0343141
dataset_D1/m_07_n_16_seed_02.txt,7,16,2,2740,0.0794554,6346,3032,3035,2746,0.0355074
dataset_D1/m_07_n_16_seed_03.txt,7,16,3,2779,0.0692644,6354,3299,3196,2803,0.0317828
dataset_D1/m_07_n_16_seed_04.txt,7,16,4,2689,0.0826692,6768,3029,2998,2702,0.0348982
dataset_D1/m_07_n_16_seed_05.txt,7,16,5,2421,0.0729139,6341,2710,2630,2426,0.0343368
dataset_D1/m_07_n_16_seed_06.txt,7,16,6,2786,0.0794966,7107,3078,3061,2790,0.0372457
dataset_D1/m_07_n_16_seed_07.txt,7,16,7,2777,0.0813191,7059,3000,2989,2779,0.051977
dataset_D1/m_07_n_16_seed_08.txt,7,16,8,2711,0.0723609,7280,3115,3037,2728,0.0320564
dataset_D1/m_07_n_16_seed_09.txt,7,16,9,2896,0.0718613,6802,3208,3140,2920,0.0319073
dataset_D1/m_07_n_18_seed_00.txt,7,18,0,2844,0.0878219,8159,3114,3087,2849,0.0399674
dataset_D1/m_07_n_18_seed_01.txt,7,18,1,3278,0.0751624,7622,3785,3802,3301,0.0349941
dataset_D1/m_07_n_18_seed_02.txt,7,18,2,3000,0.0820503,8052,3164,3150,3022,0.0411827
dataset_D1/m_07_n_18_seed_03.txt,7,18,3,2746,0.100483,7243,2926,2995,2752,0.0424033
dataset_D1/m_07_n_18_seed_04.txt,7,18,4,3076,0.0873993,8039,3416,3249,3085,0.047059
dataset_D1/m_07_n_18_seed_05.txt,7,18,5,3202,0.0720774,7536,3748,3707,3211,0.0299941
dataset_D1/m_07_n_18_seed_06.txt,7,18,6,3092,0.0788133,7740,3431,3409,3135,0.0371726
dataset_D1/m_07_n_18_seed_07.txt,7,18,7,3214,0.0822972,7653,3685,3573,3224,0.0347892
